seed,reached_destination,end_reason,day_to_finish,miles_traveled,end_food,end_parts,end_morale,survivors,reach_rate_to_date,avg_day_to_finish_reached_to_date,avg_end_food_to_date,avg_end_parts_to_date,avg_end_morale_to_date
13,True,Oregon reached after 197 days! (20 survivors),197,2061.823670689419,208.25811314553917,58.188378257413596,68.67358698235434,20,0.6923076923076923,196.11111111111111,207.65735940950196,54.67833677977298,56.297877639294946
14,True,Oregon reached after 193 days! (20 survivors),193,2053.0289221716243,151.39413171657813,78.52323300418938,69.96162819517852,20,0.7142857142857143,195.8,203.638557431436,56.38154365294558,57.27385982185806
15,True,Oregon reached after 193 days! (20 survivors),193,2069.603741956417,254.67755526365187,75.33434110141125,57.79388105981588,20,0.7333333333333333,195.54545454545453,207.04115728691704,57.64506348284329,57.30852790438858
16,False,200-day limit reached. Miles covered: 1492.9,200,1492.9357568084415,18.027665914394404,0.0,1.2,20,0.6875,195.54545454545453,195.22781407613436,54.042247015165586,53.8017449103643
17,False,200-day limit reached. Miles covered: 1359.3,200,1359.3266633874437,246.89096839775357,0.0,1.2,20,0.6470588235294118,195.54545454545453,198.26682315387666,50.86329130839114,50.70752462151934
18,False,200-day limit reached. Miles covered: 1904.4,200,1904.4250658206092,242.53733154507233,16.096828770298842,7.521667039560285,20,0.6111111111111112,195.54545454545453,200.72629584227644,48.93182116738601,48.30831031141051
19,True,Oregon reached after 179 days! (20 survivors),179,2056.1917562997005,396.07627703074456,80.62098593794246,71.87659142647341,20,0.631578947368421,194.16666666666666,211.00787379956424,50.59967194478372,49.548746159571714
20,False,200-day limit reached. Miles covered: 2004.0,200,2003.97302448295,318.2175916131902,45.66972435153918,10.55206366529546,15,0.6,194.16666666666666,216.36835969024554,50.3531745651215,47.5989120348579
21,True,Oregon reached after 192 days! (20 survivors),192,2040.5230190540651,320.73514599051236,61.020371838635675,86.28673971723981,20,0.6190476190476191,194.0,221.3382066569249,50.86113634005075,49.44118954354275
22,True,Oregon reached after 198 days! (20 survivors),198,2044.9528800070273,40.63194414212029,76.4234755177712,23.930696386542778,20,0.6363636363636364,194.28571428571428,213.1242856335247,52.02306084812895,48.28162167277003
23,False,200-day limit reached. Miles covered: 1579.7,200,1579.6670838890907,89.83597321487042,0.0,1.2,20,0.6086956521739131,194.28571428571428,207.76392422401798,49.76118863734074,46.23459464351916
24,False,200-day limit reached. Miles covered: 1573.7,200,1573.6600753930873,78.38583633787542,8.902967158453245,1.2,20,0.5833333333333334,194.28571428571428,202.3731705620954,48.058762742387096,44.3581532000392
25,False,200-day limit reached. Miles covered: 1596.4,200,1596.4019236741428,125.41967477258638,61.67328938246413,40.71074521389558,20,0.56,194.28571428571428,199.29503073051504,48.60334380799018,44.21225688059345
26,True,Oregon reached after 197 days! (20 survivors),197,2059.3809181252013,79.77948533154498,44.03165100951147,19.261437920838972,20,0.5769230769230769,194.46666666666667,194.69827898440082,48.42750946958715,43.252609997525965
27,True,Oregon reached after 186 days! (20 survivors),186,2059.9677036908206,155.63385545104128,69.65651595352206,78.96485105874052,20,0.5925925925925926,193.9375,193.25144848316526,49.21376896899215,44.57528559238577
28,False,200-day limit reached. Miles covered: 1531.2,200,1531.2341581949127,93.97823215062812,0.0,1.2,20,0.5714285714285714,193.9375,189.70597647128895,47.45613436295672,43.02616824980056
29,False,200-day limit reached. Miles covered: 1539.9,200,1539.8667692389677,135.41107371196307,0.0,14.344066800031566,20,0.5517241379310345,193.9375,187.83373844510527,45.81971593664786,42.03713026877405
30,False,200-day limit reached. Miles covered: 1623.4,200,1623.392236062643,441.54494761643474,32.24366130589054,8.300461664599547,17,0.5333333333333333,193.9375,196.29077875081626,45.36718078228929,40.9125746486349
