seed,reached_destination,end_reason,day_to_finish,miles_traveled,end_food,end_parts,end_morale,survivors,reach_rate_to_date,avg_day_to_finish_reached_to_date,avg_end_food_to_date,avg_end_parts_to_date,avg_end_morale_to_date
1,True,Oregon City / Willamette Valley reached after 195 days! (20 survivors),195,2045.6480675917464,86.47953591690674,61.67750186938774,87.94948144645625,20,1.0,195.0,86.47953591690674,61.67750186938774,87.94948144645625
2,True,Oregon City / Willamette Valley reached after 196 days! (19 survivors),196,2049.6232951175734,120.3338669892677,52.68475785575158,97.79218456594592,19,1.0,195.5,103.40670145308722,57.18112986256966,92.87083300620108
3,False,200-day limit reached. Miles covered: 1741.0,200,1740.9527590834177,51.565957049186125,0.0,1.2,16,0.6666666666666666,195.5,86.12645331845351,38.12075324171311,62.313888670800715
4,False,200-day limit reached. Miles covered: 2040.0,200,2039.9828555967981,280.87356668842665,97.87930943502495,82.09518055694056,19,0.5,195.5,134.8132316609468,53.060392290041065,67.25921164233569
5,False,200-day limit reached. Miles covered: 1991.8,200,1991.789284802597,164.71098808368416,65.69505646714876,40.07484659330619,9,0.4,195.5,140.79278294549425,55.5873251254626,61.822338632529785
6,True,Oregon City / Willamette Valley reached after 179 days! (20 survivors),179,2055.33028975627,136.69199979299867,100.0,40.904748540006786,20,0.5,190.0,140.109319086745,62.989437604552165,58.336073617109285
7,False,200-day limit reached. Miles covered: 1990.6,200,1990.6366904113481,229.51135310833467,97.21726212349472,78.96163138545259,20,0.42857142857142855,190.0,152.8810382326864,67.87912682154396,61.28258186972976
8,False,200-day limit reached. Miles covered: 1987.8,200,1987.7744132887217,370.05160782201307,43.443236195321816,48.76278122357316,15,0.375,190.0,180.0273594313522,64.82464049326619,59.71760678896018
9,False,200-day limit reached. Miles covered: 1382.7,200,1382.7428536985337,91.1740360823254,0.0,0.0,14,0.3333333333333333,190.0,170.154767948127,57.62190266068106,53.08231714574239
10,False,200-day limit reached. Miles covered: 1964.5,200,1964.519010370551,101.98932485010113,98.6403645934858,36.66468381425879,20,0.3,190.0,163.33822363832442,61.723748853961524,51.44055381259402
11,True,Oregon City / Willamette Valley reached after 188 days! (16 survivors),188,2051.942787881061,342.59223524830935,96.91116184059953,83.4154670523944,16,0.36363636363636365,189.5,179.63404287559578,64.92260458001952,54.34736410712133
12,False,200-day limit reached. Miles covered: 1847.6,200,1847.6200917894846,126.40999985362694,42.29135704376919,44.9993739371838,18,0.3333333333333333,189.5,175.19870595709838,63.036667285331994,53.56836492629321
13,True,Oregon City / Willamette Valley reached after 172 days! (20 survivors),172,2054.3173270304696,228.67835230071057,90.29774153191649,89.78451547679423,20,0.38461538461538464,186.0,179.31252490660702,65.13367299660773,56.35422266094713
14,True,Oregon City / Willamette Valley reached after 186 days! (20 survivors),186,2046.3816926052118,216.44717715293177,100.0,91.19351933078174,20,0.42857142857142855,186.0,181.9650000670588,67.62412492542146,58.84274385164961
15,False,200-day limit reached. Miles covered: 2036.8,200,2036.8443447530012,79.52135712522823,98.12768719778533,86.74447718835752,19,0.4,186.0,175.1354238709368,69.65769574357905,60.70285940743013
16,True,Sutter's Fort / Sacramento Valley reached after 184 days! (20 survivors),184,2044.4918498783932,338.3183046443703,97.31608050326776,79.19823493359802,20,0.4375,185.71428571428572,185.3343539192764,71.3863447910596,61.858820377815626
17,True,Oregon City / Willamette Valley reached after 198 days! (19 survivors),198,2052.948578512654,190.27969590434535,66.68984235109306,73.55192609711699,19,0.47058823529411764,187.25,185.62525638898634,71.11007994164981,62.54665012600982
18,False,200-day limit reached. Miles covered: 1534.5,200,1534.4532142072385,81.83176759901178,6.639716794908214,7.660608722888514,19,0.4444444444444444,187.25,179.85895145620998,67.52839310016417,59.4974256036142
19,True,Oregon City / Willamette Valley reached after 187 days! (18 survivors),187,2040.5388845546695,329.55557235510685,100.0,43.95755582344786,18,0.47368421052631576,187.22222222222223,187.73772097720456,69.2374250422608,58.67953772044755
20,False,200-day limit reached. Miles covered: 1982.2,200,1982.173185115014,357.66012517817626,47.15208501699522,57.89631330741419,16,0.45,187.22222222222223,196.23384118725315,68.13315804099751,58.64037649979588
21,True,Sutter's Fort / Sacramento Valley reached after 181 days! (20 survivors),181,2040.3610940610529,179.54087421677704,100.0,76.85007709645106,20,0.47619047619047616,186.6,195.43893799818284,69.65062670571191,59.5075050996366
22,True,Oregon City / Willamette Valley reached after 198 days! (16 survivors),198,2059.862430580432,221.17942711328234,97.68122637231004,86.56037994360928,16,0.5,187.63636363636363,196.60896023068736,70.92474487237547,60.73718122890808
23,False,200-day limit reached. Miles covered: 924.4,200,924.3786691060576,65.85112016005678,0.0,1.2,20,0.4782608695652174,187.63636363636363,190.9238367493556,67.84106031270697,58.14860813199903
24,True,Oregon City / Willamette Valley reached after 199 days! (20 survivors),199,2055.949432227641,322.9749566193728,94.0106395540992,70.28156144715662,20,0.5,188.58333333333334,196.42596674393965,68.93145944776498,58.65414785346394
25,False,200-day limit reached. Miles covered: 1117.7,200,1117.6921326352654,240.2507365959974,0.0,0.0,19,0.48,188.58333333333334,198.17895753802196,66.17420106985438,56.30798193932538
26,False,200-day limit reached. Miles covered: 2036.5,200,2036.545136856551,101.46306118252119,44.62682455489092,37.674333685290414,20,0.46153846153846156,188.58333333333334,194.45911537050273,65.34545581927885,55.59130316032403
27,True,Oregon City / Willamette Valley reached after 198 days! (16 survivors),198,2040.5583451394116,5.650231949999235,71.87491368172263,94.37107923895334,16,0.48148148148148145,189.30769230769232,187.46619376233593,65.58728759196195,57.02759116323623
28,False,200-day limit reached. Miles covered: 1959.8,200,1959.8343536345965,28.774186778747776,76.33510637832944,21.376401388277312,17,0.4642857142857143,189.30769230769232,181.79862208435065,65.97113826290365,55.754334385559126
