seed,reached_destination,end_reason,day_to_finish,miles_traveled,end_food,end_parts,end_morale,survivors,reach_rate_to_date,avg_day_to_finish_reached_to_date,avg_end_food_to_date,avg_end_parts_to_date,avg_end_morale_to_date
1,True,Oregon reached after 198 days! (20 survivors),198,2043.298436797543,414.6227377842344,74.5078255346436,38.19942869745537,20,1.0,198.0,414.6227377842344,74.5078255346436,38.19942869745537
2,True,Oregon reached after 199 days! (20 survivors),199,2053.801582106262,97.91691323581696,72.41523103067843,42.93600071270609,20,1.0,198.5,256.26982551002567,73.46152828266102,40.56771470508073
3,False,200-day limit reached. Miles covered: 973.6,200,973.566914137444,22.76671819500038,0.0,1.2,20,0.6666666666666666,198.5,178.43545640501725,48.97435218844068,27.44514313672049
4,True,Oregon reached after 200 days! (20 survivors),200,2054.210772236942,50.21590082559351,35.993972987754766,73.18724939709878,20,0.75,199.0,146.3805675101613,45.729257388269204,38.880669701815066
5,True,Oregon reached after 196 days! (20 survivors),196,2046.4703717169623,135.7837386605903,48.53470152985282,42.031828887781366,20,0.8,198.25,144.26120174024712,46.290346216585924,39.51090153900832
6,True,Oregon reached after 199 days! (20 survivors),199,2042.2391258160117,501.9805619734078,45.316250178801674,19.241593156200235,20,0.8333333333333334,198.4,203.88109511244056,46.127996876955216,36.132683475206974
7,True,Oregon reached after 183 days! (20 survivors),183,2045.9646240767677,220.9884975679741,95.75946667746247,35.45115380438276,20,0.8571428571428571,195.83333333333334,206.32500974894535,53.21820684845625,36.03532209366066
8,True,Oregon reached after 191 days! (20 survivors),191,2043.0096393826832,350.40057300303295,72.16062071248895,95.52526452015995,20,0.875,195.14285714285714,224.33445515570628,55.586008581460334,43.47156489697307
9,True,Oregon reached after 186 days! (20 survivors),186,2063.4416511388627,227.79342841827463,65.80819838943621,59.400111629338994,20,0.8888888888888888,194.0,224.71878551821388,56.721807449013205,45.24140342279151
10,False,200-day limit reached. Miles covered: 1919.7,200,1919.701741426863,159.97823637657282,8.583857076321795,16.11264924666074,20,0.8,194.0,218.2447306040498,51.90801241174406,42.32852800517843
11,True,Oregon reached after 199 days! (20 survivors),199,2041.3925941614884,576.9059847670101,68.09120704813081,1.2,20,0.8181818181818182,194.55555555555554,250.85029916431893,53.37921192414286,38.589570913798575
12,True,Oregon reached after 196 days! (19 survivors),196,2047.8399721355731,281.3433793483554,52.47421017477508,97.16868213827217,19,0.8333333333333334,194.7,253.3913891796553,53.30379511169554,43.47116351583804
13,True,Oregon reached after 200 days! (20 survivors),200,2042.71324480974,417.04946435470896,62.62908830016016,49.88109203580592,20,0.8461538461538461,195.1818181818182,265.98047188542864,54.02112535696205,43.964234940450964
14,False,200-day limit reached. Miles covered: 1474.0,200,1474.0206568114681,51.582028377454535,1.681110174853951,1.2,20,0.7857142857142857,195.1818181818182,250.6662973491448,50.28255284395433,40.90964673041875
15,True,Oregon reached after 191 days! (20 survivors),191,2042.5479637723981,519.8528760587509,55.77693404849589,79.31499691397893,20,0.8,194.83333333333334,268.61206926311854,50.6488449242571,43.470003409322764
16,False,200-day limit reached. Miles covered: 1420.0,200,1419.9934576080348,328.3308641315818,0.0,1.2,20,0.75,194.83333333333334,272.3444939423975,47.48329211649103,40.828128196240094
17,False,200-day limit reached. Miles covered: 1114.7,200,1114.7237818958336,179.3639185922978,4.861669718723915,1.2,20,0.7058823529411765,194.83333333333334,266.8750483335681,44.97613785779885,38.49706183175539
18,True,Oregon reached after 199 days! (20 survivors),199,2054.677399798445,49.74858488972987,87.61287755595225,72.7724722442787,20,0.7222222222222222,195.15384615384616,254.8124670311326,47.34484561880736,40.40125129911779
19,False,200-day limit reached. Miles covered: 1433.5,200,1433.489124973682,46.14935921098905,0.0,1.2,20,0.6842105263157895,195.15384615384616,243.83019819849346,44.853011638870136,38.33802754653264
20,True,Oregon reached after 181 days! (19 survivors),181,2045.3122362748181,71.08988589006438,94.78126074916406,45.95919448129047,19,0.7,194.14285714285714,235.19318258307203,47.34942409438483,38.71908589327054
21,False,200-day limit reached. Miles covered: 1138.5,200,1138.4643020745232,67.4617027098225,0.0,1.2,20,0.6666666666666666,194.14285714285714,227.20596925577445,45.094689613699835,36.932462755495756
22,True,Oregon reached after 191 days! (20 survivors),191,2046.425404420317,199.3766261283367,90.33472804796699,82.04329779572306,20,0.6818181818181818,193.93333333333334,225.94099911361818,47.15105499707561,38.98295525732427
23,False,200-day limit reached. Miles covered: 2038.9,200,2038.8624714859977,30.998307736446804,82.92301248845138,96.78975441674488,20,0.6521739130434783,193.93333333333334,217.46522992330637,48.70635749670065,41.49629435121212
24,True,Oregon reached after 186 days! (20 survivors),186,2041.1533554171558,84.70865001173142,100.0,28.190951975394352,20,0.6666666666666666,193.4375,211.93370576032407,50.84359260100479,40.94190508555305
25,True,Oregon reached after 199 days! (20 survivors),199,2052.2600246526094,13.966147754334223,57.6130615271796,39.952110873655464,20,0.68,193.76470588235293,204.01500344008448,51.11437135805178,40.902313317077144
26,True,Oregon reached after 170 days! (20 survivors),170,2067.3148345145532,277.30950984018534,87.38374528285499,55.1102788408071,20,0.6923076923076923,192.44444444444446,206.83402291701142,52.50934727823652,41.4487735295283
27,True,Oregon reached after 193 days! (20 survivors),193,2068.7617544873833,93.06281819461704,90.39196031542649,49.85988169604907,20,0.7037037037037037,192.47368421052633,202.62027459395978,53.912407020354664,41.76029605421426
28,True,Oregon reached after 199 days! (20 survivors),199,2047.0587833062698,299.1002486636245,48.1358521582706,39.145432133500805,20,0.7142857142857143,192.8,206.06598795359065,53.706101489565945,41.66690805704592
29,True,Oregon reached after 199 days! (20 survivors),199,2058.0208691286275,1.5644153648558152,79.881063214673,25.096114376159555,20,0.7241379310344828,193.0952380952381,199.01420958846185,54.60868637663861,41.095501378394665
30,True,Oregon reached after 185 days! (20 survivors),185,2044.9379867746995,306.74445711561066,88.94738962014279,33.360003520032286,20,0.7333333333333333,192.72727272727272,202.60521783936682,55.753309818088745,40.837651449782584
